,Nose_x,Nose_y,P0,Neck_x,Neck_y,P1,RShoulder_x,RShoulder_y,P2,RElbow_x,RElbow_y,P3,RWrist_x,RWrist_y,P4,LShoulder_x,LShoulder_y,P5,LElbow_x,LElbow_y,P6,LWrist_x,LWrist_y,P7,MidHip_x,MidHip_y,P8,RHip_x,RHip_y,P9,RKnee_x,RKnee_y,P10,RAnkle_x,RAnkle_y,P11,LHip_x,LHip_y,P12,LKnee_x,LKnee_y,P13,LAnkle_x,LAnkle_y,P14,REye_x,REye_y,P15,LEye_x,LEye_y,P16,REar_x,REar_y,P17,LEar_x,LEar_y,P18,LBigToe_x,LBigToe_y,P19,LSmallToe_x,LSmallToe_y,P20,LHeel_x,LHeel_y,P21,RBigToe_x,RBigToe_y,P22,RSmallToe_x,RSmallToe_y,P23,RHeel_x,RHeel_y,P24
0,1157.22,483.329,0.772877,1115.84,527.383,0.881637,1092.44,527.275,0.902434,1110.14,586.166,0.769195,1180.77,574.454,0.839097,1136.61,527.471,0.807961,1160.11,583.308,0.530813,1186.72,574.531,0.553375,1092.38,650.922,0.816645,1071.76,662.702,0.783317,1142.5,748.096,0.716964,1201.37,830.407,0.654028,1112.98,645.11,0.807248,1145.5,695.175,0.59603,,,0.367436,1145.52,477.36,0.75732,,,0.170598,1121.82,477.306,0.779468,,,0.0,,,0.227449,,,0.0,,,0.078096,1251.41,809.932,0.635485,1236.58,821.709,0.619636,1198.41,848.114,0.517662
1,1151.35,483.073,0.812807,1104.24,512.599,0.817553,1080.7,515.569,0.788923,1095.54,571.521,0.819259,1162.99,550.903,0.782657,1130.73,509.739,0.767438,1142.55,571.408,0.519038,1183.63,556.821,0.638691,1092.57,645.136,0.883911,1071.78,648.15,0.832988,1136.53,748.047,0.722635,1198.36,833.459,0.669389,1116.02,642.099,0.815821,1160.18,703.968,0.79182,1204.29,762.746,0.786175,1145.37,474.316,0.758749,,,0.109357,1118.89,462.712,0.76764,,,0.0,1230.84,724.552,0.633135,1224.9,721.64,0.664756,1207.14,768.731,0.597906,,,0.378123,,,0.415349,,,0.460869
2,1145.38,480.328,0.851345,1107.16,506.676,0.861661,1074.73,506.762,0.860615,1089.52,574.474,0.798271,1139.44,544.982,0.755712,1139.44,503.87,0.8334,1163.17,553.806,0.508573,1177.83,550.873,0.633578,1095.29,639.162,0.813208,1071.76,647.918,0.806364,1119.06,739.364,0.856407,1186.6,815.828,0.791367,1116.12,627.383,0.805006,1163.19,695.243,0.843969,1213.03,753.93,0.856946,1139.62,474.285,0.782705,,,0.327169,1115.92,462.602,0.732637,,,0.0,1239.64,724.52,0.667814,1236.59,718.762,0.745631,1213.2,765.857,0.685554,,,0.433018,,,0.454828,1186.73,833.399,0.613672
3,1142.46,480.113,0.886663,1098.36,500.823,0.843128,1071.75,503.802,0.859013,1095.37,527.326,0.646168,1133.66,527.209,0.680435,1130.72,494.964,0.706836,1157.17,512.576,0.63799,1180.68,545.023,0.750657,1095.41,630.324,0.810355,1071.79,644.978,0.791472,1115.93,742.076,0.836821,1177.76,818.69,0.745412,1119.04,621.555,0.814413,1180.79,692.089,0.79128,1218.96,745.14,0.815239,1139.38,468.452,0.785527,,,0.285091,1110.06,459.721,0.742168,,,0.0,1260.22,721.659,0.732584,1257.21,718.717,0.775455,1213.14,765.834,0.730369,1213.04,809.787,0.557395,1201.36,818.792,0.540475,1180.78,833.504,0.623292
4,1139.52,459.79,0.857512,1098.45,483.283,0.873327,1068.78,483.294,0.825632,1036.47,509.721,0.813428,1080.67,506.822,0.712046,1139.6,483.246,0.894,1165.95,512.575,0.855782,1189.47,544.933,0.880134,1098.39,627.421,0.788244,1071.82,642.17,0.779456,1113.07,739.351,0.823532,1165.94,812.878,0.819621,1130.65,621.399,0.776759,1189.52,680.409,0.832295,1233.79,739.216,0.87479,1130.73,456.578,0.743573,,,0.46675,1098.45,444.952,0.684497,,,0.0,1271.96,701.015,0.645393,1263.2,703.934,0.667348,1233.67,759.818,0.694494,1201.38,809.846,0.581615,1186.68,821.71,0.585917,1166.07,830.526,0.603225
5,1139.44,453.765,0.878962,1101.32,480.226,0.894858,1062.98,480.302,0.824571,1009.99,503.677,0.824956,1030.62,503.71,0.796519,1145.41,477.262,0.880179,1180.76,512.622,0.831725,1204.28,547.876,0.815642,1101.32,621.535,0.812105,1071.87,630.339,0.786301,1101.29,727.48,0.761911,1157.14,812.748,0.807983,1133.69,606.866,0.767884,1189.67,668.56,0.855698,1233.85,727.497,0.847318,1124.81,441.948,0.769741,1142.35,436.253,0.652253,1095.43,436.151,0.745849,,,0.0,1274.89,709.86,0.685816,1269.04,706.85,0.682499,1233.66,745.1,0.708676,1186.6,812.776,0.640823,1165.97,827.573,0.645462,1160.15,824.612,0.552234
6,1119.1,444.939,0.850616,1095.47,465.52,0.884352,1048.29,471.454,0.80983,992.343,483.158,0.726195,998.34,500.828,0.691926,1145.46,459.81,0.873304,1186.56,503.866,0.857943,1213.1,545.004,0.833255,1110.06,609.716,0.751699,1074.74,621.534,0.787183,1104.22,718.615,0.813925,1145.49,809.874,0.817195,1139.46,598.021,0.812394,1198.37,668.468,0.770038,1242.56,718.77,0.831479,1112.98,435.984,0.875964,1133.63,433.182,0.860436,1086.59,430.152,0.716745,,,0.0605126,1277.89,706.842,0.639008,1274.96,698.125,0.666359,1239.57,739.274,0.711001,1183.62,809.82,0.63402,1163.13,818.698,0.648235,1145.48,824.628,0.557074
7,1113.07,436.094,0.837603,1092.52,453.819,0.911755,1045.28,456.582,0.864293,998.126,459.63,0.83391,965.916,480.201,0.859233,1142.53,450.858,0.805571,1186.64,480.316,0.820929,1216.13,530.264,0.83809,1107.11,595.07,0.762183,1071.92,603.857,0.775927,1098.32,712.754,0.803925,1139.43,798.124,0.784506,1136.65,580.295,0.775766,1192.48,648.073,0.819386,1254.22,718.561,0.867126,1095.55,427.296,0.762969,1118.93,424.37,0.718677,1071.95,412.618,0.654234,,,0.0646879,1286.71,706.898,0.588133,1286.66,698.067,0.662593,1245.53,736.22,0.625271,1163.07,803.979,0.57607,1142.48,812.773,0.593011,,,0.48776
8,1098.34,418.507,0.812321,1092.34,436.004,0.932747,1039.42,436.146,0.837631,977.552,439.153,0.850225,939.422,462.644,0.831386,1142.5,433.138,0.862318,1192.47,468.517,0.816206,1233.72,530.235,0.875492,1104.22,577.396,0.782839,1071.85,592.051,0.769513,1095.46,695.097,0.862465,1121.98,792.194,0.805655,1139.4,571.436,0.77233,1195.41,645.008,0.819702,1257.12,715.596,0.853916,1089.56,409.676,0.842327,1112.98,409.621,0.832216,1068.88,403.726,0.676653,,,0.396113,1289.71,715.666,0.574046,1295.51,703.932,0.60779,1245.51,727.488,0.6772,,,0.386556,,,0.407218,1142.39,801.059,0.610218
9,1095.29,409.598,0.835665,1077.75,424.314,0.833017,1024.85,430.18,0.818311,957.068,435.97,0.82197,915.874,456.71,0.801738,1136.57,418.387,0.821827,1195.5,450.775,0.824685,1236.54,512.589,0.857817,1112.98,574.384,0.800838,1072.0,580.343,0.773898,1092.52,692.042,0.876685,1115.89,783.381,0.830588,1142.36,559.694,0.793455,1204.21,645.07,0.837306,1257.22,715.557,0.857853,1077.8,394.939,0.762723,1101.33,391.966,0.761559,1060.05,391.895,0.689546,,,0.383852,1280.85,715.742,0.631715,1286.7,709.798,0.652854,1248.48,727.466,0.689668,,,0.467012,,,0.496364,1121.92,789.226,0.575723
