,Nose_x,Nose_y,P0,Neck_x,Neck_y,P1,RShoulder_x,RShoulder_y,P2,RElbow_x,RElbow_y,P3,RWrist_x,RWrist_y,P4,LShoulder_x,LShoulder_y,P5,LElbow_x,LElbow_y,P6,LWrist_x,LWrist_y,P7,MidHip_x,MidHip_y,P8,RHip_x,RHip_y,P9,RKnee_x,RKnee_y,P10,RAnkle_x,RAnkle_y,P11,LHip_x,LHip_y,P12,LKnee_x,LKnee_y,P13,LAnkle_x,LAnkle_y,P14,REye_x,REye_y,P15,LEye_x,LEye_y,P16,REar_x,REar_y,P17,LEar_x,LEar_y,P18,LBigToe_x,LBigToe_y,P19,LSmallToe_x,LSmallToe_y,P20,LHeel_x,LHeel_y,P21,RBigToe_x,RBigToe_y,P22,RSmallToe_x,RSmallToe_y,P23,RHeel_x,RHeel_y,P24
0,,,0.46148,865.896,486.201,0.776884,859.997,489.045,0.766466,883.498,545.01,0.591587,886.467,586.154,0.676056,880.392,483.345,0.824879,927.609,524.356,0.65669,,,0.412746,930.576,577.411,0.798814,927.583,580.27,0.701495,936.486,648.123,0.670155,971.742,709.778,0.709771,933.589,577.341,0.779488,948.133,650.975,0.759099,980.583,715.748,0.813398,,,0.0,,,0.45578,,,0.0,836.281,462.595,0.708275,951.226,727.495,0.71828,962.94,733.417,0.692943,998.168,718.694,0.771099,948.257,718.712,0.509309,,,0.471132,,,0.326152
1,,,0.348358,871.678,489.058,0.741229,860.02,486.182,0.712974,,,0.316596,,,0.472629,880.501,489.106,0.780737,930.528,524.361,0.594237,974.734,544.964,0.589807,930.628,577.479,0.78029,927.625,580.319,0.682531,936.508,653.875,0.63018,974.743,712.775,0.736672,936.475,577.433,0.762185,945.279,656.839,0.739733,986.439,718.58,0.802736,,,0.0,,,0.375229,,,0.0,833.528,474.368,0.6776,954.061,730.467,0.699742,968.77,736.35,0.6969,1001.12,718.805,0.789928,951.074,721.588,0.522938,,,0.475078,,,0.363416
2,,,0.296093,868.756,500.744,0.742223,862.88,497.836,0.712591,,,0.320351,,,0.475004,874.665,500.82,0.77854,930.484,524.444,0.649259,977.689,547.911,0.623029,933.503,580.418,0.746117,933.488,583.211,0.649421,951.153,650.942,0.651706,977.781,712.699,0.722581,936.44,583.237,0.726013,942.35,659.819,0.718227,989.432,718.532,0.802834,,,0.0,,,0.324191,,,0.0,833.514,477.193,0.70936,954.224,727.458,0.665793,968.872,736.251,0.672017,1001.21,718.72,0.782557,954.004,718.748,0.501713,,,0.464426,,,0.390346
3,,,0.281805,874.673,492.021,0.752228,862.971,489.057,0.726036,,,0.45921,,,0.49664,880.506,494.966,0.791415,924.726,539.114,0.581615,907.061,594.984,0.681975,933.604,589.114,0.710872,939.37,583.266,0.602781,954.198,651.036,0.673018,980.609,712.742,0.717329,933.57,592.116,0.752931,948.167,668.46,0.747553,989.455,715.821,0.795201,,,0.0,,,0.314729,,,0.0,836.296,477.253,0.679169,954.212,724.574,0.667569,971.699,736.236,0.661304,1001.27,718.692,0.765107,,,0.467527,,,0.426356,,,0.38878
4,,,0.245035,877.635,500.869,0.761456,877.526,497.924,0.704572,,,0.31938,,,0.474647,877.618,500.906,0.790429,930.498,530.182,0.706826,977.701,550.736,0.763473,939.361,597.866,0.759902,936.513,595.06,0.661664,954.192,659.786,0.671298,989.38,715.564,0.696926,939.383,597.905,0.728431,948.275,668.675,0.755217,989.474,718.622,0.772294,,,0.0,,,0.297451,,,0.114287,833.512,480.185,0.763751,954.252,727.468,0.644961,971.726,736.297,0.652753,1001.25,718.8,0.76794,,,0.449459,,,0.395657,,,0.457093
5,,,0.316374,883.367,503.721,0.832922,889.364,492.064,0.66852,,,0.264336,,,0.346185,874.586,506.72,0.800438,907.004,553.769,0.554254,904.081,600.992,0.660198,945.236,597.998,0.784411,951.18,594.974,0.71613,965.893,656.886,0.706149,992.338,715.715,0.721864,933.509,600.927,0.776162,948.138,671.507,0.77383,995.309,718.688,0.767513,,,0.0,,,0.389192,,,0.0754727,836.55,480.276,0.721456,962.994,730.395,0.619813,974.718,739.113,0.676949,1007.11,721.703,0.691041,954.199,721.621,0.503969,,,0.433974,,,0.418256
6,,,0.307045,880.56,503.784,0.81057,880.529,500.787,0.693857,,,0.226803,,,0.318831,880.398,503.931,0.807509,927.491,544.956,0.6144,906.966,600.977,0.514971,942.351,598.071,0.760585,945.307,597.908,0.66736,959.959,665.634,0.682189,986.514,715.82,0.724075,939.35,600.901,0.739551,951.285,671.593,0.773453,1001.17,724.496,0.772781,,,0.0,,,0.373178,,,0.0813055,836.442,480.206,0.736464,971.713,736.31,0.644822,977.721,739.382,0.673663,1018.78,733.32,0.734063,957.026,724.54,0.607151,957.085,721.586,0.540095,,,0.360497
7,,,0.251797,880.569,503.867,0.833831,880.548,500.859,0.745687,,,0.252884,,,0.274539,880.406,506.737,0.842028,930.51,547.91,0.756926,,,0.45217,942.39,600.978,0.74731,948.145,600.824,0.679113,957.117,668.473,0.690596,986.469,715.828,0.738141,942.298,603.838,0.725384,954.12,671.683,0.77159,998.359,724.572,0.772736,,,0.0,,,0.324883,,,0.0975517,836.439,480.37,0.744838,968.85,739.113,0.624017,977.664,742.15,0.668507,1013.02,733.359,0.719336,954.21,724.601,0.648443,954.243,721.632,0.573148,,,0.391754
8,,,0.267036,880.582,506.618,0.813391,880.567,503.743,0.725451,,,0.244777,,,0.302241,880.417,506.753,0.843399,927.685,550.791,0.75353,977.719,574.369,0.513267,942.372,601.04,0.735954,948.186,600.867,0.676122,962.936,668.493,0.679779,989.388,718.61,0.727797,939.41,603.916,0.704434,954.165,671.7,0.769423,1001.14,727.432,0.748077,,,0.0,,,0.324323,,,0.0,836.42,483.118,0.714499,968.822,739.139,0.608183,977.635,742.204,0.655359,1015.93,736.205,0.712815,954.223,724.598,0.629899,957.02,724.495,0.537089,,,0.398658
9,,,0.145099,883.418,506.799,0.793379,886.475,503.793,0.705963,,,0.270372,,,0.389001,877.62,512.596,0.796271,921.765,550.929,0.681432,907.03,609.718,0.664144,948.152,603.839,0.765681,951.204,600.848,0.722727,965.926,668.624,0.724778,989.454,718.762,0.746504,939.366,609.71,0.715136,954.098,677.441,0.75368,1001.2,730.441,0.76583,,,0.0,,,0.178525,,,0.140248,836.406,486.118,0.764789,971.707,739.244,0.587833,977.739,742.29,0.600936,1018.77,736.311,0.745551,954.233,730.426,0.651837,957.047,724.565,0.564553,,,0.382277
10,,,0.304943,880.658,506.714,0.812003,880.637,503.818,0.720476,,,0.24577,,,0.165322,880.562,506.894,0.821612,930.492,547.958,0.746502,977.712,577.311,0.753338,942.395,603.888,0.740108,945.314,601.026,0.669285,965.832,668.659,0.699946,986.539,721.608,0.721585,945.221,606.789,0.707588,954.216,677.451,0.746443,1004.12,733.421,0.746577,,,0.0,,,0.356179,,,0.0,836.547,483.305,0.747352,974.602,742.203,0.661719,980.632,748.091,0.631637,1021.75,739.156,0.778275,957.015,733.349,0.653022,957.096,730.377,0.553915,,,0.394627
11,,,0.306173,883.553,506.897,0.805664,892.275,503.886,0.736025,,,0.327555,,,0.266761,880.473,515.606,0.811871,927.626,553.755,0.697129,,,0.488602,948.246,606.83,0.749812,951.234,601.049,0.692483,968.806,671.458,0.717906,986.526,724.549,0.705972,945.225,615.579,0.698504,954.244,680.439,0.738673,1001.34,736.317,0.764848,,,0.0,,,0.353408,,,0.0890733,839.37,486.123,0.74896,974.59,742.326,0.645172,980.65,751.028,0.608945,1021.74,739.222,0.753581,954.194,736.227,0.651498,957.012,730.406,0.556281,,,0.348644
12,,,0.372086,883.53,506.875,0.817733,892.312,503.831,0.715354,,,0.0991808,,,0.0759746,880.405,518.471,0.804772,915.813,559.682,0.624385,909.972,618.619,0.715697,951.069,603.927,0.779784,954.155,600.893,0.703805,971.701,671.464,0.747687,992.392,724.563,0.670568,942.388,612.655,0.717592,954.143,683.327,0.751593,1001.18,736.335,0.752233,,,0.0,,,0.428006,,,0.0571604,842.273,486.216,0.729193,971.803,742.326,0.641434,977.778,751.014,0.61208,1021.68,739.2,0.714124,954.219,736.214,0.537695,,,0.440586,,,0.365353
13,,,0.408104,883.495,506.899,0.783916,886.504,503.877,0.689786,,,0.0836766,,,0.0,880.521,518.473,0.778573,915.829,562.646,0.607064,910.082,621.456,0.683369,951.035,603.847,0.751974,951.196,600.894,0.667891,962.908,671.487,0.698676,989.44,721.663,0.6643,948.186,606.82,0.732876,954.094,677.519,0.752327,1001.17,736.261,0.744863,,,0.0,,,0.452568,,,0.0,839.43,486.218,0.7226,971.781,742.286,0.655876,977.783,750.973,0.634379,1018.92,739.185,0.718634,957.077,733.399,0.517344,,,0.43959,,,0.364634
14,,,0.327198,883.529,509.634,0.840473,895.239,503.801,0.752837,,,0.125305,,,0.0595755,877.542,521.492,0.819751,904.047,574.339,0.709699,907.037,621.552,0.783041,951.076,606.761,0.785812,954.171,600.917,0.720739,968.753,671.502,0.75066,989.429,724.536,0.67942,942.319,615.592,0.725167,954.11,686.249,0.796469,1001.36,739.203,0.804391,,,0.0,,,0.368433,,,0.0897662,839.378,489.08,0.739577,974.602,745.12,0.710167,977.799,753.935,0.667087,1021.75,739.335,0.791762,954.225,733.412,0.60491,,,0.486215,,,0.386201
15,,,0.120918,883.602,509.73,0.852872,903.948,503.916,0.80849,,,0.16057,,,0.0,874.646,524.289,0.836391,892.361,574.473,0.825249,904.091,621.643,0.871631,951.078,609.791,0.798809,957.105,601.046,0.750394,968.848,671.673,0.783227,989.418,733.409,0.698525,936.408,618.597,0.79389,954.01,689.27,0.846909,1004.2,739.291,0.78393,,,0.0,,,0.160189,,,0.178564,836.515,494.969,0.749439,977.555,748.126,0.642386,986.465,756.933,0.626933,1021.85,742.122,0.795082,957.123,739.185,0.556954,,,0.457833,,,0.337136
16,,,0.261676,883.613,509.773,0.829344,901.137,506.729,0.78831,,,0.168332,,,0.0,877.515,521.465,0.829121,898.196,574.462,0.779023,904.103,624.459,0.847599,948.273,615.606,0.785646,954.03,606.867,0.678877,959.957,677.409,0.674411,983.596,736.238,0.664008,939.394,618.601,0.751459,954.191,689.204,0.771942,1004.19,742.089,0.766383,,,0.0,,,0.327352,,,0.10173,839.345,494.963,0.760641,977.645,751.071,0.624878,989.461,759.831,0.626185,1021.82,742.236,0.772436,957.13,739.216,0.523087,,,0.447395,,,0.362312
17,,,0.178471,886.371,512.603,0.840737,904.06,506.738,0.832018,,,0.160915,,,0.0,874.664,524.32,0.84881,892.272,574.556,0.836251,903.92,624.472,0.874339,948.252,615.627,0.79441,957.043,603.945,0.745017,968.787,674.459,0.763203,986.524,736.307,0.668085,933.452,621.478,0.82159,953.998,692.058,0.840436,1004.17,739.353,0.772106,,,0.0,,,0.236806,,,0.161279,839.268,492.083,0.752842,977.649,750.984,0.613816,986.506,759.763,0.621249,1021.81,742.214,0.778557,,,0.487866,,,0.412071,,,0.357036
