,Nose_x,Nose_y,P0,Neck_x,Neck_y,P1,RShoulder_x,RShoulder_y,P2,RElbow_x,RElbow_y,P3,RWrist_x,RWrist_y,P4,LShoulder_x,LShoulder_y,P5,LElbow_x,LElbow_y,P6,LWrist_x,LWrist_y,P7,MidHip_x,MidHip_y,P8,RHip_x,RHip_y,P9,RKnee_x,RKnee_y,P10,RAnkle_x,RAnkle_y,P11,LHip_x,LHip_y,P12,LKnee_x,LKnee_y,P13,LAnkle_x,LAnkle_y,P14,REye_x,REye_y,P15,LEye_x,LEye_y,P16,REar_x,REar_y,P17,LEar_x,LEar_y,P18,LBigToe_x,LBigToe_y,P19,LSmallToe_x,LSmallToe_y,P20,LHeel_x,LHeel_y,P21,RBigToe_x,RBigToe_y,P22,RSmallToe_x,RSmallToe_y,P23,RHeel_x,RHeel_y,P24
0,1024.62,330.099,0.827617,1001.34,365.345,0.916793,974.549,365.358,0.904888,960.045,421.334,0.820739,959.988,462.62,0.871721,1042.32,362.575,0.907625,1048.24,421.448,0.888172,1045.37,480.337,0.906549,1021.66,477.274,0.857079,998.336,477.347,0.892028,998.33,542.034,0.843513,1036.48,597.856,0.878791,1039.47,477.221,0.786407,1060.02,550.797,0.835993,1095.27,618.57,0.879818,1018.76,318.535,0.804813,1024.74,318.446,0.720426,998.107,321.389,0.79977,,,0.0,1068.84,624.591,0.763696,1080.68,630.43,0.66362,1110.06,624.443,0.745985,998.325,598.101,0.950637,1001.2,595.09,0.896877,1045.48,600.893,0.851349
1,1021.75,324.248,0.814219,1001.16,362.453,0.909259,968.777,362.455,0.845729,954.243,412.6,0.914687,954.127,459.537,0.951266,1033.62,362.426,0.862617,1045.34,412.713,0.878232,1042.46,480.1,0.838448,1007.09,477.223,0.820415,992.3,477.266,0.821381,992.412,539.096,0.814419,1024.68,597.97,0.898203,1024.89,474.414,0.831887,1048.3,550.752,0.879567,1083.58,621.413,0.819759,1012.95,318.334,0.801092,1021.94,318.302,0.778901,995.262,318.398,0.799666,,,0.104165,1054.22,627.407,0.703614,1071.79,636.249,0.658608,1095.38,624.533,0.742623,989.469,600.818,0.848555,995.225,597.845,0.805176,1039.46,601.076,0.708983
2,1012.98,318.537,0.826347,998.242,356.567,0.886895,959.987,356.577,0.812641,951.271,412.456,0.929651,951.041,456.724,0.94264,1027.74,353.678,0.849579,1036.57,412.539,0.870806,1030.67,477.228,0.815389,1001.24,468.491,0.839396,980.664,468.493,0.822977,977.81,536.177,0.842221,1018.89,597.972,0.88206,1021.89,468.49,0.82288,1045.22,550.781,0.862366,1071.82,621.381,0.883475,1004.1,315.4,0.862956,1021.67,315.469,0.851437,989.448,315.362,0.793438,,,0.181784,1045.24,627.407,0.73633,1057.11,636.228,0.67638,1086.61,624.554,0.783955,980.608,598.114,0.875218,983.526,597.821,0.805461,1024.88,603.823,0.671056
3,1007.11,315.556,0.857787,998.19,347.866,0.887523,957.11,347.846,0.827984,951.105,409.533,0.915588,942.39,450.82,0.837743,1027.71,347.836,0.870865,1033.53,412.522,0.885533,1024.85,477.267,0.87607,1001.08,465.489,0.866077,977.749,462.69,0.858574,977.563,533.303,0.890295,1004.25,598.08,0.895801,1021.75,465.515,0.832509,1033.53,547.893,0.81572,1065.94,618.576,0.841368,1001.18,312.361,0.853915,1018.81,312.427,0.784569,983.493,309.588,0.751502,,,0.212661,1036.53,627.397,0.794819,1048.43,636.218,0.732481,1071.99,624.464,0.768261,971.818,600.816,0.885906,974.746,597.852,0.835001,1021.74,603.97,0.801718
4,1013.02,312.483,0.840333,992.328,344.819,0.870473,954.007,344.829,0.888681,945.257,403.741,0.831777,933.483,444.934,0.865156,1024.74,344.846,0.904717,1024.89,409.562,0.884767,1021.82,468.531,0.817664,995.301,462.668,0.82777,974.642,462.665,0.850067,968.83,533.185,0.85114,995.37,598.055,0.909135,1013.02,462.694,0.777735,1024.63,547.899,0.870877,1048.34,618.628,0.885078,1001.36,300.685,0.84503,1018.85,297.865,0.625226,980.58,300.692,0.845575,,,0.0,1021.78,627.499,0.808308,1036.56,639.162,0.742064,1063.03,624.536,0.766738,957.061,597.994,0.895856,959.998,595.013,0.808438,1001.35,603.968,0.73269
5,1001.18,315.319,0.878502,980.651,344.824,0.884951,951.019,341.943,0.89772,930.612,403.746,0.86408,924.584,447.854,0.851662,1021.75,347.758,0.887611,1021.76,412.509,0.87478,1010.0,474.383,0.786999,980.588,462.571,0.846841,960.068,459.739,0.844352,951.227,533.329,0.901637,974.708,601.012,0.908119,1001.19,462.645,0.848687,1004.18,550.842,0.87922,1024.87,624.471,0.890804,995.365,300.777,0.814015,1004.23,303.644,0.73953,974.772,300.761,0.808362,,,0.0513504,995.354,633.283,0.822414,1007.1,644.944,0.800504,1042.43,642.073,0.760536,936.455,600.925,0.877614,942.34,597.993,0.797193,980.711,615.621,0.724899
6,998.388,312.484,0.822548,980.572,341.99,0.899484,948.266,341.809,0.880743,930.518,397.895,0.85632,918.779,441.99,0.831382,1021.64,344.819,0.894365,1015.9,412.55,0.855457,1001.31,477.309,0.866769,977.614,462.689,0.859398,954.242,462.559,0.86127,948.261,539.155,0.850689,968.785,615.614,0.826416,998.308,465.599,0.836464,998.394,550.973,0.907757,1021.76,627.376,0.890599,995.225,300.673,0.750935,1001.3,300.673,0.715581,974.603,300.709,0.75696,,,0.0782397,989.44,642.036,0.762088,1001.23,645.141,0.807324,1027.69,644.927,0.811853,927.73,603.894,0.851558,930.633,600.886,0.809667,974.819,624.438,0.776081
7,998.376,315.477,0.89827,977.52,347.779,0.905722,939.439,344.905,0.817456,927.574,409.484,0.902924,907.103,450.742,0.884311,1015.96,347.797,0.84598,1012.92,412.581,0.837217,1001.19,480.178,0.865974,974.619,471.391,0.821722,951.191,468.436,0.834366,933.501,542.07,0.845142,954.182,618.543,0.862277,995.303,474.306,0.793056,995.263,553.745,0.880642,1004.11,633.291,0.825002,992.409,306.63,0.781879,1001.29,309.517,0.770559,971.668,303.705,0.788521,,,0.0,974.626,645.103,0.885066,989.394,648.154,0.791803,1018.86,647.922,0.780107,915.817,606.873,0.767788,921.746,603.812,0.722954,968.756,624.548,0.681495
8,986.514,315.526,0.815015,974.721,347.768,0.907749,936.432,344.865,0.835568,927.536,409.489,0.905234,906.968,447.852,0.892339,1007.16,347.883,0.833077,1007.11,412.703,0.854988,998.22,480.163,0.860504,971.689,474.339,0.814114,951.033,471.413,0.833943,930.531,547.876,0.898846,951.006,621.368,0.88739,989.434,477.209,0.779056,980.549,553.98,0.877306,998.225,642.075,0.858736,977.738,309.505,0.799411,998.123,312.398,0.772442,965.859,306.577,0.679417,,,0.267133,962.944,647.906,0.807603,977.62,653.853,0.779586,1004.21,648.067,0.774989,907.142,609.756,0.831327,910.046,603.848,0.764613,954.211,624.591,0.765885
9,983.576,315.336,0.843369,974.559,350.714,0.870131,930.717,344.965,0.851832,924.584,409.577,0.879285,903.961,450.797,0.874798,1004.11,353.674,0.85691,1004.1,415.606,0.855899,995.275,480.379,0.868976,960.01,474.326,0.810646,942.366,471.37,0.799927,927.568,547.964,0.893351,933.522,621.475,0.889265,980.575,477.235,0.830357,974.748,553.96,0.887887,986.467,639.203,0.817952,977.598,300.768,0.841716,998.094,303.664,0.780321,959.962,300.757,0.71963,,,0.307234,951.163,647.987,0.876437,968.83,653.97,0.752354,998.345,648.041,0.788358,901.094,621.401,0.863241,904.021,615.582,0.780682,948.153,627.43,0.738591
10,980.557,318.395,0.914118,971.743,359.519,0.865343,930.637,350.743,0.858473,915.865,412.462,0.86329,895.273,453.797,0.847999,1001.26,362.452,0.918806,1001.25,430.127,0.872727,983.552,483.283,0.852161,957.052,477.366,0.854695,939.411,477.251,0.831145,918.815,550.852,0.872996,927.569,621.653,0.91481,977.629,480.206,0.860842,960.061,556.892,0.808357,977.61,645.106,0.871063,974.818,312.482,0.908339,992.391,315.387,0.869145,957.134,312.453,0.719377,,,0.493493,942.353,650.999,0.780269,957.005,665.618,0.785128,995.219,662.67,0.729268,886.514,624.392,0.878608,892.258,621.418,0.81522,933.475,633.249,0.70549
11,980.67,324.207,0.804893,965.925,362.441,0.866754,930.478,356.677,0.879882,912.91,415.49,0.83478,892.283,459.591,0.875521,1001.16,362.636,0.9272,998.306,433.143,0.904139,980.564,489.073,0.827713,954.132,483.149,0.894964,933.561,480.303,0.872877,912.955,553.967,0.854321,921.752,633.314,0.830025,974.726,483.303,0.857037,954.22,571.43,0.869886,971.767,651.061,0.822269,977.565,315.502,0.867376,992.416,318.271,0.77309,957.054,315.388,0.768137,,,0.160261,930.675,662.741,0.735531,951.047,671.464,0.785578,977.761,668.744,0.831238,883.378,627.433,0.870133,883.569,624.452,0.831002,930.44,645.148,0.77495
12,980.602,327.186,0.864098,968.794,365.403,0.890485,930.593,362.419,0.900591,909.982,418.474,0.839612,886.475,465.489,0.856612,1001.13,365.623,0.911025,998.291,436.14,0.905599,977.734,500.848,0.835696,954.024,486.224,0.863654,930.733,483.31,0.871499,907.129,562.644,0.876248,909.924,642.147,0.873261,974.639,492.056,0.818335,954.083,574.533,0.930958,962.895,659.807,0.813184,974.849,318.297,0.942956,992.387,318.438,0.871338,954.275,318.261,0.83325,,,0.13887,927.474,668.622,0.855476,939.351,674.53,0.781401,974.716,671.535,0.816488,877.498,639.111,0.768897,880.421,630.294,0.725951,921.765,648.159,0.717303
