,Nose_x,Nose_y,P0,Neck_x,Neck_y,P1,RShoulder_x,RShoulder_y,P2,RElbow_x,RElbow_y,P3,RWrist_x,RWrist_y,P4,LShoulder_x,LShoulder_y,P5,LElbow_x,LElbow_y,P6,LWrist_x,LWrist_y,P7,MidHip_x,MidHip_y,P8,RHip_x,RHip_y,P9,RKnee_x,RKnee_y,P10,RAnkle_x,RAnkle_y,P11,LHip_x,LHip_y,P12,LKnee_x,LKnee_y,P13,LAnkle_x,LAnkle_y,P14,REye_x,REye_y,P15,LEye_x,LEye_y,P16,REar_x,REar_y,P17,LEar_x,LEar_y,P18,LBigToe_x,LBigToe_y,P19,LSmallToe_x,LSmallToe_y,P20,LHeel_x,LHeel_y,P21,RBigToe_x,RBigToe_y,P22,RSmallToe_x,RSmallToe_y,P23,RHeel_x,RHeel_y,P24
0,,,0.488739,927.694,503.648,0.82685,945.323,486.147,0.829597,974.604,547.87,0.791566,1021.74,598.036,0.905393,907.065,509.654,0.735654,880.557,577.435,0.549506,877.615,647.966,0.502245,930.636,644.94,0.819595,954.23,642.071,0.801642,1012.98,695.12,0.816949,1045.44,745.206,0.783134,907.015,645.028,0.794904,936.461,674.56,0.709037,927.69,739.176,0.786929,995.245,459.544,0.524365,,,0.0521568,968.815,456.716,0.68573,,,0.0990195,,,0.488971,921.686,753.957,0.503448,924.708,748.074,0.67742,1048.4,771.646,0.568251,1065.95,768.67,0.622405,1048.39,762.765,0.733249
1,,,0.164218,927.605,503.734,0.850289,951.02,489.123,0.814855,980.639,550.96,0.84961,1027.72,598.023,0.904941,904.056,509.697,0.748,880.595,580.422,0.631533,868.793,659.78,0.665494,930.504,645.033,0.82248,954.149,642.076,0.804543,1007.13,695.021,0.836407,1045.45,745.188,0.789648,904.162,647.925,0.788705,930.709,686.212,0.740568,927.698,739.323,0.78847,,,0.180461,,,0.0,951.214,456.743,0.535047,,,0.289358,,,0.433304,,,0.462174,927.504,751.075,0.681413,1048.28,774.532,0.593362,1063.03,768.706,0.611227,1051.22,762.789,0.715754
2,,,0.217974,927.666,500.796,0.815191,951.125,486.232,0.829369,983.605,550.758,0.826279,1036.51,597.816,0.860392,904.113,506.661,0.732965,,,0.331411,,,0.347911,924.686,642.104,0.754163,951.088,636.276,0.762083,1004.25,692.218,0.828891,1045.43,748.094,0.781779,898.181,645.065,0.706023,927.728,668.686,0.736028,924.73,745.183,0.770226,,,0.26269,,,0.0,962.928,456.66,0.554848,,,0.194302,,,0.365311,,,0.412345,921.753,762.625,0.705282,1048.26,765.777,0.507353,1065.91,765.68,0.575056,1048.4,765.705,0.759926
3,,,0.36152,924.63,497.875,0.823688,951.148,486.129,0.858284,992.314,547.992,0.837275,1042.45,594.908,0.871629,892.317,503.853,0.788377,880.469,580.433,0.575339,859.893,665.618,0.736179,924.625,639.183,0.778299,951.096,630.4,0.781903,1001.26,692.153,0.867785,1045.36,742.237,0.81512,895.228,644.952,0.733314,927.47,671.461,0.795485,924.73,742.323,0.794042,,,0.396499,,,0.0,951.201,450.777,0.579566,,,0.277158,,,0.466479,907.077,756.931,0.580967,927.499,762.64,0.761063,1045.31,771.598,0.514909,1060.03,765.777,0.520621,1051.19,759.776,0.698426
4,,,0.111119,915.809,489.065,0.79012,942.311,480.246,0.833828,989.414,536.193,0.812778,1045.25,586.204,0.867089,886.492,503.832,0.781789,877.625,589.173,0.63013,857.095,665.627,0.82453,921.738,639.115,0.764508,951.031,630.396,0.769479,1001.21,692.19,0.87246,1045.23,742.27,0.775698,889.418,642.102,0.721578,927.478,665.713,0.750677,921.664,739.272,0.75765,,,0.125433,,,0.0,,,0.414853,,,0.251821,,,0.458778,906.999,754.021,0.522654,915.82,753.921,0.672355,1039.51,777.46,0.594351,1051.28,768.735,0.579846,1048.37,759.811,0.679465
5,,,0.0799964,915.868,483.366,0.833304,948.199,480.121,0.859596,998.234,542.059,0.860117,1048.18,583.268,0.891316,883.632,500.876,0.809333,877.547,580.337,0.528938,859.824,653.908,0.63257,921.775,633.344,0.768303,951.054,627.508,0.782336,1001.24,692.132,0.872664,1045.27,753.934,0.770847,892.282,642.024,0.728462,924.695,668.541,0.779259,912.97,739.175,0.758502,,,0.0760224,,,0.0,933.519,436.234,0.519518,,,0.361473,918.755,759.848,0.536021,904.145,754.013,0.592645,910.033,748.135,0.711353,,,0.408308,,,0.448943,1048.35,765.744,0.746024
6,,,0.243371,912.983,483.127,0.860714,948.107,477.205,0.829529,998.356,539.171,0.859744,1048.3,577.525,0.905786,883.614,491.999,0.778625,,,0.216846,,,0.207568,918.826,627.503,0.763252,948.207,627.37,0.785386,1001.16,689.242,0.843466,1042.35,745.192,0.76387,889.365,633.318,0.720059,924.737,662.674,0.756696,910.009,733.373,0.761442,,,0.269225,,,0.0,933.597,433.251,0.564084,,,0.345157,918.781,756.905,0.544402,904.157,748.099,0.593681,907.021,742.336,0.759402,1039.47,765.739,0.52911,1051.27,762.878,0.571369,1045.38,762.831,0.763106
7,,,0.201638,912.955,480.203,0.854684,951.028,471.45,0.819636,1001.1,533.176,0.873088,1048.37,577.3,0.931279,883.49,483.315,0.828162,,,0.377153,,,0.39598,924.703,630.392,0.785861,951.149,627.367,0.806048,1001.21,692.029,0.851892,1039.44,742.312,0.7605,898.167,639.113,0.719607,918.767,668.514,0.727094,907.16,739.19,0.780322,,,0.222394,,,0.0,948.254,430.167,0.557914,,,0.165415,924.583,759.899,0.561323,906.973,753.975,0.566345,907.024,751.003,0.709269,,,0.496454,1048.38,762.691,0.543839,1045.29,759.885,0.740415
8,,,0.334247,910.077,477.278,0.832158,948.284,465.551,0.827644,998.336,530.219,0.883191,1048.43,574.542,0.926126,883.374,483.109,0.835864,,,0.301955,,,0.398416,921.691,624.576,0.777682,951.073,624.5,0.79956,1001.21,689.256,0.836948,1036.55,742.308,0.753226,889.366,627.392,0.723777,918.758,659.781,0.692738,907.059,730.41,0.75609,,,0.353316,,,0.0,942.386,421.413,0.630637,,,0.168049,912.909,751.031,0.524953,903.997,745.197,0.564724,904.137,742.283,0.721498,1030.65,765.805,0.599748,1048.22,765.675,0.623354,1045.23,759.892,0.74032
9,,,0.353927,909.954,474.3,0.836978,951.047,459.784,0.87234,1001.15,527.411,0.901579,1048.33,574.279,0.920756,880.469,480.288,0.837683,,,0.246059,,,0.379193,921.673,624.521,0.801911,951.11,624.424,0.825758,1001.22,689.233,0.842983,1033.58,745.233,0.743417,886.491,624.597,0.742588,910.017,662.756,0.785376,906.94,742.17,0.842772,,,0.418846,,,0.0,933.539,415.53,0.725298,,,0.271731,,,0.411413,889.391,742.281,0.503003,906.921,759.812,0.774531,,,0.487223,1048.21,759.858,0.54985,1042.34,762.862,0.744736
