,Nose_x,Nose_y,P0,Neck_x,Neck_y,P1,RShoulder_x,RShoulder_y,P2,RElbow_x,RElbow_y,P3,RWrist_x,RWrist_y,P4,LShoulder_x,LShoulder_y,P5,LElbow_x,LElbow_y,P6,LWrist_x,LWrist_y,P7,MidHip_x,MidHip_y,P8,RHip_x,RHip_y,P9,RKnee_x,RKnee_y,P10,RAnkle_x,RAnkle_y,P11,LHip_x,LHip_y,P12,LKnee_x,LKnee_y,P13,LAnkle_x,LAnkle_y,P14,REye_x,REye_y,P15,LEye_x,LEye_y,P16,REar_x,REar_y,P17,LEar_x,LEar_y,P18,LBigToe_x,LBigToe_y,P19,LSmallToe_x,LSmallToe_y,P20,LHeel_x,LHeel_y,P21,RBigToe_x,RBigToe_y,P22,RSmallToe_x,RSmallToe_y,P23,RHeel_x,RHeel_y,P24
0,971.809,312.378,0.777987,954.182,338.978,0.919927,906.924,321.307,0.863379,851.1,318.368,0.673992,836.381,330.171,0.704895,1009.99,353.653,0.786577,1071.78,392.067,0.839094,1118.83,453.658,0.860852,927.681,483.141,0.815771,904.024,483.123,0.7739,907.036,609.755,0.678874,974.703,695.199,0.550911,954.052,483.228,0.793844,904.134,550.808,0.834348,945.314,671.519,0.548535,957.054,294.715,0.824387,980.586,294.947,0.78422,936.471,291.821,0.736969,,,0.327854,,,0.260818,,,0.215487,,,0.290656,,,0.281429,,,0.255657,,,0.457574
1,971.704,318.255,0.80158,957.004,344.826,0.875807,907.02,336.002,0.84579,857.003,321.278,0.645368,842.285,338.846,0.692231,1010.0,362.488,0.821688,1071.93,403.672,0.818959,1118.9,453.773,0.870213,933.58,494.996,0.741146,912.938,494.993,0.702024,918.794,624.412,0.606339,,,0.49183,957.05,497.917,0.715213,906.913,562.624,0.77509,951.238,671.648,0.548177,954.252,297.877,0.777366,980.553,309.499,0.747736,936.471,294.88,0.672563,,,0.401571,,,0.286909,,,0.29213,,,0.316321,,,0.442192,,,0.386542,,,0.429195
2,971.695,324.306,0.750028,960.025,359.555,0.83356,909.912,342.068,0.797435,,,0.474347,,,0.487105,1018.77,365.535,0.827482,1080.62,409.644,0.844964,1118.95,456.767,0.906958,948.157,500.893,0.780014,924.684,500.83,0.752145,930.666,627.462,0.736163,998.348,718.588,0.619895,968.834,503.756,0.740533,904.18,577.466,0.837854,951.18,686.297,0.55034,957.014,315.342,0.816616,980.562,315.529,0.782062,936.497,312.497,0.650784,,,0.453787,,,0.142309,,,0.116736,,,0.412999,1021.91,759.781,0.621037,1015.85,759.813,0.537052,1015.9,718.683,0.514719
3,971.821,341.862,0.792152,960.072,374.332,0.814046,909.977,365.419,0.839602,842.302,368.452,0.662941,856.912,356.647,0.733736,1015.86,386.104,0.839593,1077.74,415.574,0.787473,1118.87,471.454,0.859201,954.076,521.433,0.783513,930.558,518.559,0.754672,930.509,659.754,0.682529,,,0.377915,977.594,521.491,0.740595,906.925,597.947,0.813864,,,0.452758,957.147,330.119,0.73237,980.569,333.122,0.739791,939.435,324.279,0.638222,,,0.461278,,,0.233432,,,0.256899,,,0.24297,,,0.256275,,,0.243488,,,0.336936
4,971.716,362.382,0.650513,965.866,385.911,0.83129,909.915,368.371,0.815664,848.186,388.992,0.647364,854.027,374.313,0.712739,1021.76,391.965,0.82672,1089.42,433.157,0.861933,1118.82,480.272,0.899777,954.068,530.239,0.82524,930.519,530.245,0.789207,933.464,668.53,0.672391,1015.93,765.716,0.5274,977.607,530.276,0.783486,907.145,601.025,0.827765,951.248,709.78,0.568161,954.252,342.05,0.643069,977.712,344.843,0.630497,939.372,339.093,0.525861,,,0.483218,,,0.176047,,,0.0,,,0.210206,,,0.216602,,,0.207763,,,0.47674
5,968.777,365.55,0.716821,965.88,391.924,0.837487,909.919,386.115,0.832462,860.02,409.643,0.527064,851.071,394.945,0.584719,1021.8,403.753,0.817849,1092.31,439.092,0.848921,1115.99,492.054,0.834982,957.164,542.105,0.753656,936.454,547.842,0.725057,933.564,674.544,0.700302,1018.84,765.749,0.679324,980.699,542.066,0.71599,912.9,615.596,0.772571,942.328,721.625,0.645729,954.111,356.607,0.71711,977.67,359.532,0.716862,933.549,347.837,0.566705,,,0.432073,,,0.167115,,,0.147554,,,0.426926,,,0.437839,,,0.412562,1033.64,777.499,0.555719
6,965.906,377.223,0.672284,965.907,409.446,0.831771,907.132,394.92,0.802974,860.002,427.258,0.601514,848.166,412.553,0.730853,1021.82,412.497,0.854021,1092.35,453.701,0.868192,1115.91,503.768,0.885611,959.969,553.824,0.768613,936.426,553.915,0.71729,942.38,695.143,0.619525,1021.83,783.425,0.638296,983.509,553.789,0.731201,921.67,621.511,0.805825,942.359,721.678,0.662792,954.048,365.361,0.766631,977.576,365.346,0.741676,933.554,362.586,0.592356,998.14,362.619,0.568229,,,0.240953,,,0.311293,,,0.315034,,,0.0918852,,,0.0,1045.21,795.233,0.579949
7,960.052,386.09,0.646953,968.821,412.602,0.866776,910.012,409.586,0.84754,862.961,447.906,0.723431,848.209,433.049,0.808306,1021.78,415.59,0.83182,1089.54,456.775,0.90665,1115.89,509.775,0.853432,974.645,562.645,0.764337,951.281,562.692,0.729169,951.207,671.547,0.76875,948.163,762.748,0.560828,995.283,559.751,0.703627,927.565,624.465,0.85838,933.471,724.519,0.673883,951.227,371.356,0.691464,974.726,371.428,0.644244,933.464,368.45,0.580341,995.236,368.425,0.535427,906.928,745.176,0.59649,910.046,748.069,0.565606,,,0.449756,,,0.221375,,,0.186438,,,0.474504
8,951.236,388.95,0.672601,968.841,421.444,0.812056,912.937,415.569,0.807026,874.614,471.416,0.72829,845.262,450.855,0.772133,1021.68,430.126,0.799482,1089.43,459.812,0.8641,1113.1,527.239,0.867507,968.831,574.349,0.758347,945.307,574.429,0.715441,945.256,698.048,0.66767,1030.59,789.224,0.59989,992.388,574.322,0.714134,927.545,639.158,0.78205,930.7,751.07,0.699028,945.271,380.135,0.635203,960.074,380.135,0.614342,,,0.266703,983.608,371.424,0.621462,898.124,756.929,0.551286,904.001,762.896,0.63753,951.061,774.575,0.640525,,,0.357303,,,0.317442,1048.34,806.943,0.585895
9,948.141,406.612,0.678506,971.673,436.05,0.87202,915.819,433.255,0.837122,880.415,480.362,0.793915,836.486,480.157,0.891246,1021.7,436.133,0.830758,1089.46,480.241,0.89337,1115.88,545.048,0.831947,974.669,583.251,0.727545,948.157,589.138,0.662406,933.576,695.182,0.577001,1021.88,765.774,0.507894,1001.14,577.498,0.716795,930.598,645.139,0.849535,927.714,768.714,0.74698,933.583,389.143,0.683799,954.221,389.126,0.70299,,,0.162588,980.6,388.948,0.681766,868.758,783.42,0.600516,883.431,789.22,0.658362,945.217,789.32,0.682579,,,0.21478,,,0.196079,,,0.419571
10,951.097,412.622,0.62846,965.851,439.021,0.84138,909.946,436.245,0.840095,877.641,483.294,0.811732,833.372,489.062,0.872721,1021.72,439.1,0.795685,1086.6,483.068,0.876644,1115.87,550.919,0.891719,989.431,580.272,0.726435,971.725,580.417,0.699647,942.358,700.974,0.688999,1039.52,771.638,0.548995,1007.12,577.42,0.704819,930.653,647.986,0.830961,924.597,771.596,0.657745,936.423,406.668,0.642601,957.101,403.748,0.595288,,,0.322562,980.556,391.999,0.579528,,,0.397252,,,0.483092,933.538,789.421,0.607836,,,0.278899,,,0.285556,,,0.477092
11,933.514,421.376,0.589387,968.82,450.776,0.820819,909.913,453.745,0.85137,880.385,497.916,0.810113,827.578,506.807,0.891809,1021.86,441.985,0.80488,1089.53,483.348,0.880161,1115.93,556.797,0.880099,983.574,594.936,0.717047,959.965,597.956,0.700231,945.274,715.613,0.747534,1039.5,765.715,0.733734,1010.07,586.185,0.66385,930.637,647.908,0.8291,912.954,771.629,0.716244,927.705,409.685,0.625255,948.217,409.618,0.626254,,,0.137965,974.702,397.868,0.701922,857.081,786.304,0.614594,871.701,789.412,0.639906,930.496,792.271,0.717914,1048.37,804.024,0.52624,1045.43,803.955,0.508197,1057.11,762.873,0.602359
12,930.638,418.422,0.687609,959.967,456.552,0.86683,906.986,459.603,0.897092,874.647,506.86,0.826758,824.599,527.211,0.859799,1018.87,441.982,0.778472,1089.42,492.04,0.816397,1116.04,568.511,0.846958,992.322,595.075,0.743094,959.999,600.943,0.717426,930.671,715.716,0.640221,1030.61,762.886,0.673048,1021.71,583.318,0.714138,933.527,645.093,0.813175,907.11,768.666,0.73028,924.66,409.637,0.718724,945.217,409.497,0.680022,,,0.291131,971.729,400.816,0.666295,,,0.472654,865.833,789.304,0.547432,927.491,792.208,0.633881,,,0.418328,,,0.392985,1051.35,765.711,0.529251
13,927.644,433.098,0.599476,960.037,456.763,0.888417,907.038,465.509,0.839376,871.679,524.318,0.799905,818.775,536.121,0.836497,1018.88,442.07,0.784567,1086.57,492.022,0.804549,1115.99,571.477,0.86902,986.532,597.865,0.693889,957.129,601.025,0.656208,,,0.465803,1021.74,753.989,0.618847,1018.82,583.269,0.647475,936.402,647.94,0.807507,906.92,768.756,0.746527,918.782,421.34,0.532876,933.571,415.461,0.584355,,,0.129855,968.821,409.524,0.687608,848.195,786.371,0.643715,859.934,792.213,0.690882,921.745,792.253,0.657051,,,0.430373,,,0.410837,,,0.451001
14,930.477,433.137,0.838214,960.002,456.79,0.884381,906.931,465.538,0.857044,877.494,527.306,0.854711,815.743,550.912,0.886212,1021.71,444.882,0.79163,1089.44,497.88,0.818751,1116.03,574.285,0.884822,974.61,600.89,0.653221,933.471,612.723,0.576644,918.783,718.561,0.585002,1021.76,759.771,0.670669,1004.22,594.951,0.60939,933.52,647.936,0.755744,903.94,771.587,0.741357,918.773,421.376,0.738609,936.507,415.463,0.747722,,,0.165513,968.836,409.491,0.740166,839.414,783.405,0.633773,856.972,789.322,0.677516,912.874,792.241,0.631669,,,0.429214,,,0.40115,,,0.490049
15,918.779,430.124,0.765236,954.196,456.801,0.932936,906.924,480.19,0.881922,877.642,547.833,0.842517,812.827,577.413,0.887253,1004.17,436.092,0.857861,1077.81,486.132,0.835991,1116.08,562.705,0.853114,977.795,597.993,0.783866,951.279,606.844,0.756019,927.672,715.661,0.648681,1010.03,759.91,0.713053,1007.15,586.17,0.680074,927.68,650.977,0.818167,883.616,765.86,0.757014,906.934,415.539,0.814306,927.65,412.44,0.823423,,,0.110987,954.09,406.692,0.801452,830.467,771.582,0.62931,839.336,786.197,0.668626,901.178,789.39,0.68809,,,0.439774,,,0.434788,1030.63,748.11,0.540885
16,912.944,430.134,0.730454,951.283,459.617,0.938911,904.005,480.376,0.873982,877.528,550.944,0.885379,815.73,592.016,0.82247,1001.26,436.126,0.871407,1074.81,483.109,0.869339,1116.02,556.833,0.878277,980.569,597.878,0.779,954.029,603.923,0.765848,921.692,695.171,0.616265,1007.04,762.853,0.712161,1010.03,580.354,0.700482,930.687,645.038,0.795204,883.451,762.767,0.706096,904.08,415.569,0.777261,924.696,412.446,0.769086,,,0.172827,951.142,406.632,0.79871,830.422,768.695,0.558914,839.282,783.349,0.606717,895.202,789.231,0.540639,1021.85,809.871,0.568744,1012.93,809.823,0.517523,1027.72,756.922,0.520947
