,Nose_x,Nose_y,P0,Neck_x,Neck_y,P1,RShoulder_x,RShoulder_y,P2,RElbow_x,RElbow_y,P3,RWrist_x,RWrist_y,P4,LShoulder_x,LShoulder_y,P5,LElbow_x,LElbow_y,P6,LWrist_x,LWrist_y,P7,MidHip_x,MidHip_y,P8,RHip_x,RHip_y,P9,RKnee_x,RKnee_y,P10,RAnkle_x,RAnkle_y,P11,LHip_x,LHip_y,P12,LKnee_x,LKnee_y,P13,LAnkle_x,LAnkle_y,P14,REye_x,REye_y,P15,LEye_x,LEye_y,P16,REar_x,REar_y,P17,LEar_x,LEar_y,P18,LBigToe_x,LBigToe_y,P19,LSmallToe_x,LSmallToe_y,P20,LHeel_x,LHeel_y,P21,RBigToe_x,RBigToe_y,P22,RSmallToe_x,RSmallToe_y,P23,RHeel_x,RHeel_y,P24
0,627.514,177.075,0.566277,624.612,224.211,0.912932,589.122,227.177,0.812621,547.963,271.212,0.886486,512.612,330.146,0.815808,668.669,221.334,0.866927,703.906,247.881,0.593957,,,0.396844,639.184,362.559,0.829077,609.767,365.37,0.802814,598.067,456.617,0.901441,586.246,539.173,0.792713,665.728,362.477,0.823594,686.214,447.832,0.780115,715.656,539.108,0.852336,621.62,174.005,0.58193,639.172,171.222,0.539003,,,0.498258,,,0.459781,695.23,553.977,0.74961,715.677,553.919,0.798379,718.731,550.762,0.787092,577.296,556.848,0.764778,562.652,553.759,0.768531,597.82,550.903,0.784896
1,,,0.425587,556.869,253.579,0.851041,521.441,262.446,0.812545,477.321,306.63,0.850537,442.031,362.566,0.868667,600.852,247.806,0.884648,642.051,274.261,0.786223,627.522,312.458,0.767468,574.575,386.163,0.850698,550.86,389.028,0.840074,550.769,480.328,0.875581,547.868,553.961,0.857694,600.946,386.025,0.833847,624.417,468.444,0.843081,668.476,553.903,0.862798,,,0.366415,,,0.416058,,,0.269138,,,0.45503,650.934,577.36,0.780885,668.627,574.521,0.83859,671.612,562.644,0.735842,533.317,577.386,0.777061,527.229,574.39,0.814126,550.935,565.65,0.779939
2,545.015,218.356,0.50656,553.992,250.766,0.885777,521.4,262.406,0.81523,477.359,306.595,0.855766,442.058,362.566,0.862148,597.944,247.771,0.896955,642.17,274.244,0.858199,630.349,315.28,0.819499,574.541,388.973,0.868804,550.862,389.126,0.842297,550.794,480.317,0.87997,547.878,553.919,0.864557,600.881,386.123,0.859016,624.488,471.439,0.846173,668.505,556.768,0.877439,,,0.444224,550.933,206.495,0.513987,,,0.252228,571.457,209.519,0.516988,648.064,577.465,0.789825,668.529,577.333,0.817711,671.681,565.632,0.775592,536.148,577.294,0.780878,527.265,574.299,0.807078,550.944,565.599,0.778764
3,,,0.282899,544.933,274.258,0.851351,503.767,283.009,0.826129,459.522,327.159,0.87148,430.257,386.092,0.872524,577.539,271.327,0.86865,624.433,300.763,0.86777,627.401,341.854,0.857377,556.885,406.638,0.817629,533.215,409.545,0.838639,533.217,497.931,0.84333,536.156,574.512,0.86837,586.16,403.66,0.763433,609.717,483.203,0.855141,651.066,565.653,0.807243,,,0.288245,,,0.266962,,,0.305493,,,0.313262,642.158,595.04,0.798673,653.935,592.028,0.756177,668.503,574.291,0.796047,524.411,594.98,0.730322,512.636,586.175,0.709248,550.737,580.365,0.815356
4,,,0.271985,544.966,274.269,0.853082,503.824,283.037,0.83249,459.535,324.3,0.878178,430.257,386.102,0.87684,577.523,271.333,0.870074,624.433,300.753,0.869665,627.411,341.873,0.857974,556.873,406.641,0.820994,533.202,409.54,0.840808,533.221,497.925,0.842718,536.157,574.525,0.868434,583.338,403.659,0.765074,609.748,483.218,0.851336,651.064,565.652,0.80974,,,0.268308,,,0.252791,,,0.265176,,,0.333509,642.174,595.001,0.797701,653.961,589.158,0.753513,668.49,571.531,0.79834,524.403,594.991,0.731259,512.622,586.188,0.710791,550.745,580.379,0.817825
5,,,0.284449,544.939,274.235,0.857363,503.806,280.13,0.832023,459.552,324.299,0.878432,430.259,386.066,0.871373,577.513,271.32,0.87214,624.428,300.752,0.871274,627.404,341.85,0.8591,556.874,406.638,0.821652,533.209,409.536,0.8414,533.222,497.926,0.842736,536.159,574.512,0.868472,583.332,403.657,0.767482,609.768,483.229,0.851308,651.07,565.63,0.809289,,,0.281259,,,0.265106,,,0.281132,,,0.327386,642.17,595.005,0.803137,653.958,589.163,0.75759,668.494,571.517,0.79878,524.42,594.966,0.732262,512.648,586.158,0.7107,550.739,580.363,0.81769
6,521.436,250.706,0.532293,533.276,291.841,0.920468,497.877,294.776,0.872586,456.723,339.088,0.90315,430.249,391.904,0.844322,574.522,288.833,0.882636,624.457,312.518,0.906319,642.095,359.49,0.83212,556.874,409.704,0.858554,533.229,412.616,0.840653,542.073,497.883,0.799653,550.761,571.443,0.888668,583.278,409.501,0.817399,609.795,483.283,0.853543,662.764,571.495,0.80961,512.574,247.608,0.537559,527.333,244.869,0.588305,,,0.312547,547.907,244.919,0.547027,645.041,598.087,0.8614,662.696,597.916,0.78379,671.58,577.274,0.787313,539.149,589.193,0.698352,527.443,580.397,0.792998,553.832,574.508,0.825587
7,,,0.47696,533.301,291.822,0.911542,497.915,294.748,0.870871,456.732,339.09,0.898935,430.241,391.917,0.841016,574.545,288.832,0.878987,624.462,312.516,0.898232,642.091,359.472,0.822953,556.879,409.705,0.85034,533.238,412.624,0.833414,542.08,497.858,0.797016,550.761,571.445,0.889367,583.276,409.497,0.811408,609.744,483.246,0.85666,662.737,571.442,0.798719,,,0.493674,527.362,244.904,0.530016,,,0.339078,547.885,247.618,0.501142,645.017,598.07,0.862324,662.682,597.895,0.778043,671.573,574.505,0.776537,539.136,589.188,0.696749,527.437,580.391,0.792934,553.834,574.515,0.826641
8,533.344,262.473,0.588014,550.839,294.741,0.95165,506.761,297.862,0.865896,471.442,341.903,0.842818,442.036,389.165,0.835351,589.17,291.751,0.854655,647.93,318.523,0.919697,668.502,365.47,0.873037,574.546,409.556,0.902139,550.95,412.492,0.889104,556.818,489.068,0.842532,574.363,553.915,0.922764,600.853,406.585,0.835926,624.645,480.37,0.890513,674.546,547.881,0.805678,530.217,250.685,0.609538,547.869,247.892,0.614311,,,0.34149,559.722,247.854,0.586007,671.498,580.375,0.879083,692.029,574.554,0.878202,689.161,547.878,0.65543,568.512,574.457,0.761657,553.878,574.313,0.789865,580.262,559.777,0.783803
9,533.183,262.468,0.578825,550.862,294.729,0.951244,506.79,297.845,0.869615,471.414,341.911,0.839008,442.015,391.903,0.833065,589.173,291.738,0.851087,647.936,318.522,0.919353,668.5,365.479,0.87267,574.549,409.578,0.898774,550.949,412.512,0.884827,556.821,489.066,0.841157,574.372,553.909,0.921982,600.856,406.613,0.837542,624.633,480.375,0.891381,674.533,545.052,0.802083,527.437,250.694,0.575625,544.923,247.891,0.589417,,,0.267441,556.857,247.839,0.59657,671.493,580.379,0.879128,692.027,577.254,0.875545,689.161,545.02,0.651767,568.499,574.452,0.756011,553.881,574.306,0.785072,580.271,559.77,0.78255
10,533.204,262.455,0.568805,550.861,294.728,0.952371,506.78,297.841,0.871388,471.413,341.913,0.838717,442.041,389.152,0.833744,589.177,291.738,0.852875,647.906,318.515,0.922984,668.49,365.456,0.871251,574.545,409.568,0.901103,550.954,412.501,0.887424,556.821,489.072,0.841978,574.368,553.914,0.922413,600.846,406.603,0.837365,624.64,480.372,0.891773,674.551,547.864,0.802854,527.449,250.682,0.570707,544.946,247.88,0.581698,,,0.281231,556.86,247.839,0.588983,671.493,580.395,0.87619,692.029,577.269,0.874092,689.167,545.03,0.655574,568.502,574.451,0.759724,553.879,574.306,0.787634,580.268,559.776,0.783019
11,,,0.332671,597.958,286.025,0.889395,553.966,291.844,0.895953,524.302,336.033,0.85031,500.802,386.103,0.85359,633.313,277.184,0.825284,695.079,315.456,0.944834,727.526,362.638,0.820744,624.449,394.95,0.854846,600.952,403.682,0.848024,612.703,471.371,0.776113,642.164,527.261,0.8523,647.986,391.899,0.858022,677.456,465.51,0.810448,736.232,512.671,0.81653,,,0.355029,,,0.355309,,,0.352274,,,0.451459,724.5,553.752,0.82267,742.12,547.932,0.853187,742.107,509.772,0.760106,624.424,533.241,0.561364,621.508,530.286,0.571856,650.949,527.368,0.713924
12,,,0.351605,597.985,286.032,0.891852,553.998,291.845,0.892561,524.288,336.039,0.849046,500.788,386.132,0.851324,636.186,277.207,0.823074,695.065,315.446,0.940806,727.454,362.556,0.818195,624.447,394.949,0.856166,600.95,403.681,0.84984,612.699,471.403,0.777758,642.165,527.299,0.853694,647.985,391.898,0.859326,677.455,465.505,0.811784,736.241,512.678,0.818221,,,0.369636,,,0.377372,,,0.344039,,,0.476165,724.507,553.752,0.82139,742.125,547.932,0.851988,742.12,512.58,0.757167,624.436,533.293,0.552884,621.515,530.335,0.562413,650.949,527.394,0.709657
13,,,0.48449,627.501,283.106,0.84805,594.966,291.71,0.870256,553.75,339.019,0.926436,530.366,391.953,0.834033,668.682,274.332,0.865547,733.416,315.421,0.861649,765.816,362.62,0.880488,659.825,386.179,0.844038,642.007,389.105,0.835152,645.209,459.508,0.947225,686.281,500.908,0.84026,680.406,385.967,0.812732,715.591,456.798,0.862465,768.717,506.663,0.87133,,,0.458201,624.403,244.859,0.544158,,,0.315988,644.925,244.855,0.652878,762.847,539.164,0.77504,780.468,533.188,0.728289,783.457,503.858,0.779933,677.434,521.5,0.694287,668.709,515.599,0.720321,695.11,503.651,0.743818
