,Nose_x,Nose_y,P0,Neck_x,Neck_y,P1,RShoulder_x,RShoulder_y,P2,RElbow_x,RElbow_y,P3,RWrist_x,RWrist_y,P4,LShoulder_x,LShoulder_y,P5,LElbow_x,LElbow_y,P6,LWrist_x,LWrist_y,P7,MidHip_x,MidHip_y,P8,RHip_x,RHip_y,P9,RKnee_x,RKnee_y,P10,RAnkle_x,RAnkle_y,P11,LHip_x,LHip_y,P12,LKnee_x,LKnee_y,P13,LAnkle_x,LAnkle_y,P14,REye_x,REye_y,P15,LEye_x,LEye_y,P16,REar_x,REar_y,P17,LEar_x,LEar_y,P18,LBigToe_x,LBigToe_y,P19,LSmallToe_x,LSmallToe_y,P20,LHeel_x,LHeel_y,P21,RBigToe_x,RBigToe_y,P22,RSmallToe_x,RSmallToe_y,P23,RHeel_x,RHeel_y,P24
0,,,0.0,1230.67,527.185,0.861159,1260.35,512.611,0.841519,1310.21,550.808,0.865687,1351.53,583.308,0.872462,1189.55,530.265,0.86923,1166.01,583.254,0.537347,,,0.114545,1239.57,621.525,0.839532,1266.11,618.502,0.775399,1304.33,650.993,0.811828,1310.22,727.485,0.845455,1213.12,624.492,0.827583,1213.04,686.272,0.58466,1210.16,739.24,0.672869,,,0.0,,,0.0,1236.68,486.134,0.548882,,,0.400048,,,0.308392,,,0.342403,,,0.499702,1351.51,718.733,0.632383,1348.53,730.441,0.668197,1307.21,739.295,0.804703
1,,,0.0,1221.97,524.422,0.808541,1260.21,512.636,0.804712,1310.24,547.941,0.8157,1351.46,580.363,0.87281,1186.72,530.244,0.775043,1162.98,574.355,0.560173,,,0.47446,1239.68,621.513,0.789159,1269.05,615.625,0.693317,1304.31,648.093,0.766836,1310.27,724.546,0.793251,1213.25,624.495,0.764253,1213.05,692.211,0.537768,,,0.491091,,,0.0,,,0.0,,,0.394666,,,0.27901,,,0.0,,,0.0,,,0.400477,1351.43,718.71,0.576957,1348.45,727.538,0.598578,1307.25,739.152,0.752313
2,,,0.0769423,1224.92,527.219,0.752756,1260.34,512.614,0.585709,1310.35,548.004,0.635459,1351.51,580.409,0.741981,1189.45,530.333,0.530946,,,0.389441,,,0.316049,1242.6,621.539,0.751258,1271.95,618.492,0.543218,1304.28,648.096,0.537611,1307.44,724.568,0.526276,1216.16,624.513,0.609989,,,0.3565,,,0.275953,,,0.0770626,,,0.0667336,,,0.317864,,,0.26835,,,0.0,,,0.0,,,0.257863,,,0.357649,,,0.349342,1307.22,739.109,0.502251
3,,,0.118992,1227.79,527.273,0.748119,,,0.0,,,0.0,,,0.0,,,0.42995,,,0.476433,,,0.407414,1242.6,621.502,0.728339,,,0.425962,,,0.403136,,,0.374094,,,0.493247,,,0.280321,,,0.219814,,,0.104331,,,0.105271,,,0.0,,,0.255187,,,0.0,,,0.0,,,0.207796,,,0.286994,,,0.260088,,,0.351845
4,,,0.16789,1233.58,553.715,0.866373,1189.6,562.665,0.791183,1154.27,592.112,0.708608,1139.42,621.466,0.70251,1269.04,544.971,0.770645,1313.2,568.549,0.762999,1351.36,600.845,0.873128,1251.38,645.043,0.84457,1221.92,648.108,0.826739,1210.22,730.445,0.704719,1201.32,756.947,0.508662,1277.84,636.286,0.778146,1304.42,671.448,0.84813,1313.19,739.381,0.845464,,,0.127871,,,0.147993,,,0.134359,,,0.242911,1333.87,748.119,0.587812,1345.51,742.161,0.625329,1304.45,748.072,0.681584,,,0.409879,,,0.436459,,,0.386216
5,,,0.141513,1230.8,553.755,0.870114,1189.58,565.593,0.801844,1157.14,592.084,0.725508,1139.47,618.593,0.727836,1266.17,544.993,0.779011,1313.24,568.553,0.764049,1351.39,600.919,0.875427,1251.38,645.052,0.846454,1221.93,648.128,0.824708,1210.2,733.334,0.704048,1198.43,756.89,0.502742,1277.83,636.293,0.776216,1304.43,671.471,0.829386,1313.19,742.092,0.827308,,,0.112591,,,0.128949,,,0.111601,,,0.242537,1330.95,751.059,0.564666,1339.71,742.25,0.595186,1304.45,748.092,0.655023,,,0.412517,,,0.440242,,,0.381378
6,,,0.0,1239.56,550.812,0.624583,,,0.394488,,,0.302446,,,0.272328,,,0.382006,,,0.328767,,,0.344548,1251.37,651.013,0.591781,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
7,,,0.0,1236.79,550.878,0.622541,,,0.374031,,,0.284644,,,0.259244,,,0.363716,,,0.316647,,,0.33023,1251.35,651.017,0.591212,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
8,,,0.0,1236.79,550.879,0.622483,,,0.374227,,,0.284762,,,0.259384,,,0.363886,,,0.316975,,,0.330626,1251.35,651.017,0.591198,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
9,,,0.0,1245.51,630.328,0.769829,1283.71,624.45,0.848642,1324.95,665.564,0.682196,1333.76,692.217,0.625214,1210.11,642.182,0.778498,1163.09,671.694,0.741438,1119.08,709.841,0.77094,1263.16,718.631,0.839733,1289.71,715.752,0.778769,1307.3,762.753,0.841871,1313.19,833.346,0.848693,1236.7,721.57,0.820951,1230.82,762.888,0.745543,1210.15,833.345,0.83236,,,0.0,,,0.0,,,0.168976,,,0.23485,,,0.405268,1183.72,830.458,0.531944,1210.12,839.391,0.687375,1330.87,824.619,0.52205,1333.78,833.338,0.641343,1310.21,836.504,0.714838
10,,,0.0,1245.51,630.345,0.774545,1283.71,624.457,0.854856,1324.96,665.574,0.693641,1333.76,692.215,0.626573,1210.11,644.93,0.788361,1163.08,671.688,0.746789,1119.08,709.839,0.774393,1263.18,718.633,0.841862,1292.54,715.754,0.779962,1307.31,762.781,0.845012,1313.17,833.341,0.850152,1236.71,721.572,0.822852,1230.79,765.661,0.74883,1210.15,833.346,0.833607,,,0.0,,,0.0,,,0.172228,,,0.235934,,,0.410196,1183.71,830.455,0.535215,1210.12,839.391,0.687472,1330.87,824.61,0.52742,1333.77,833.33,0.647379,1307.45,836.499,0.718762
